:START_ID,:TYPE,:END_ID
"肖迁","开展进行","多个混合型MMC互联的中压直流配电网多元抗扰控制方法研究"
"肖迁","开展进行","综合能源系统的稳定性与运行优化"
"肖迁","开展进行","基于边云协同的区域能源互联网优化运行智能理论与关键技术"
"孙美君","开展进行","敦煌壁画建筑信息识别系统"
"孙美君","开展进行","渤海造船厂开展焊缝缺陷检测项目"
"孙美君","开展进行","社会信息融合的客户侧用能系统关键特征信息提取技术研究"
"孙美君","开展进行","基于机器学习的焊接缺陷自动判读技术研究"
"孙美君","开展进行","基于CPSS的客户侧边缘感知与能源控制技术研究"
"孙美君","开展进行","基于显著性的主动学习方法研究及其在医疗影像分析中的应用"
"孙美君","开展进行","面向癌症检测的小样本高光谱图像分类理论研究"
"范秋筠","开展进行","面向急性脑卒中微结构成像的HIBRID深度学习加速方法"
"范秋筠","开展进行","TractCaliber MRI for Characterizing Axonal Damage in Ischemic Stroke"
"范秋筠","开展进行","HIBRID MRI for Characterizing Focal Cortical Dysplasia in Epilepsy"
"廖士中","开展进行","定性与定量空间推理方法研究"
"廖士中","开展进行","定性计算机视觉方法研究"
"廖士中","开展进行","基于定型推理的视频内容检索技术"
"廖士中","开展进行","定性物理形状表示方法研究"
"廖士中","开展进行","计算机视觉的定性计算理论与方法研究"
"廖士中","开展进行","图模型的近似计算理论及其在草图人机界面中的应用"
"金弟","开展进行","Big Social Media Data Management and Analysis"
"金弟","开展进行","SPCs in AAAI 2018-2022 and IJCAI 2021-2022, and PCs of ICML, NeurIPS, KDD and WWW"
"金弟","开展进行","Pattern Recognition Special issue on “Graph Machine Learning”"
"金弟","开展进行","Big Data Special Issue on “Network structural modelling & learning”"
"金弟","开展进行","Future Generation Computer Systems Special Issue on “Graph-Powered Machine Learning”"
"郭玙","开展进行","人体状态测试"
"郭玙","开展进行","多体素核磁共振谱量化估计新方法及其辅助肿瘤识别方法的研究"
"郭玙","开展进行","多体素核磁共振谱辅助肿瘤定位相关算法的研究"
"饶国政","开展进行","精细化质量管理示范研究"
"饶国政","开展进行","过程质量风险建模与评价研究"
"饶国政","开展进行","面向异构数据库的查询语言设计及其基础理论研究"
"饶国政","开展进行","配电网多元化负荷运行响应大数据分析"
"饶国政","开展进行","图数据管理关键技术及系统"
"陈保军","开展进行","经口入路颅颌面肿瘤切除柔性手术机器人"
"王树新","开展进行","海洋技术装备创新服务平台"
"王树新","开展进行","安全性驱动的微创手术机器人互作用机理与系统评估方法"
"王树新","开展进行","微创器械创成与实现方法研究"
"王树新","开展进行","腹腔镜手术辅助机器人开发"
"王树新","开展进行","微创外科手术机器人动力学行为与系统设计方法研究"
